employee_id,department,amount,category,merchant,description,receipt_attached,hour_of_day,day_of_week,is_weekend,is_round_number,description_length,is_anomaly,monthly_expense_count,monthly_total_amount,amount_vs_avg_ratio,days_since_last_expense,category_frequency,merchant_frequency
EMP0002,operations,468.2,training,Udemy,Training - Udemy,True,14,3,0,0,60,0,21,7445.76,1.32,13,0.81,0.32
EMP0002,operations,33.37,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,7,1,0,0,72,0,22,7479.13,0.1,1,0.17,0.37
EMP0002,operations,277.29,software,Zoom,Software - Zoom,True,18,0,0,0,14,1,23,7756.42,0.82,5,0.73,0.31
EMP0002,operations,104.82,training,Workshop,Training - Workshop,True,13,2,0,0,76,0,24,7861.24,0.32,9,0.78,0.59
EMP0002,operations,60.86,transportation,Taxi,Transportation - Taxi,False,15,3,0,0,80,0,25,7922.099999999999,0.19,0,0.51,0.31
EMP0002,operations,37.27,software,Google Cloud,Software - Google Cloud,True,16,0,0,0,43,0,26,7959.37,0.12,0,0.57,0.1
EMP0002,operations,134.53,software,Zoom,Software - Zoom,True,11,3,0,0,34,0,27,8093.9,0.45,6,0.3,0.51
EMP0002,operations,126.7,accommodation,Airbnb,Accommodation - Airbnb,True,19,1,0,0,30,0,28,8220.6,0.43,4,0.46,0.18
EMP0002,operations,182.31,training,Conference Registration,Training - Conference Registration,True,15,4,0,0,41,0,29,8402.91,0.63,2,0.55,0.37
EMP0002,operations,147.12,accommodation,Marriott,Accommodation - Marriott,True,11,2,0,0,46,0,30,8550.03,0.52,13,0.53,0.53
EMP0002,operations,161.89,software,Adobe,Software - Adobe,True,15,1,0,0,56,0,31,8711.92,0.58,12,0.36,0.34
EMP0002,operations,317.61,client_entertainment,Restaurant,Client Entertainment - Restaurant,True,19,1,0,0,59,0,32,9029.53,1.13,5,0.72,0.09
EMP0002,operations,468.45,software,Slack,Software - Slack,True,12,2,0,0,15,0,33,9497.98,1.63,13,0.85,0.4
EMP0002,operations,1000.0,accommodation,Holiday Inn,Accommodation - Holiday Inn,True,13,1,0,1,11,1,34,10497.98,3.24,10,0.24,0.11
EMP0002,operations,466.98,training,Workshop,Training - Workshop,True,19,2,0,0,35,0,35,10964.96,1.49,14,0.75,0.16
EMP0002,operations,444.14,training,Conference Registration,Training - Conference Registration,True,14,4,0,0,64,0,36,11409.1,1.4,6,0.68,0.11
EMP0002,operations,108.33,accommodation,Airbnb,Accommodation - Airbnb,True,8,5,1,0,23,0,37,11517.43,0.35,4,0.25,0.4
EMP0002,operations,17.89,transportation,Taxi,Transportation - Taxi,True,9,0,0,0,76,0,38,11535.32,0.06,13,0.32,0.48
EMP0002,operations,31.67,office_supplies,Staples,Office Supplies - Staples,True,15,5,1,0,37,0,39,11566.99,0.11,2,0.32,0.35
EMP0002,operations,35.01,meals,UberEats,Meals - UberEats,True,7,3,0,0,30,0,40,11602.0,0.12,13,0.38,0.11
EMP0002,operations,790.51,travel,Southwest,Travel - Southwest,True,11,1,0,0,27,0,41,12392.51,2.62,8,0.73,0.32
EMP0002,operations,108.51,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,8,4,0,0,77,0,42,12501.02,0.36,13,0.6,0.44
EMP0002,operations,13.53,meals,Starbucks,Meals - Starbucks,True,14,2,0,0,44,0,43,12514.55,0.05,9,0.11,0.49
EMP0002,operations,28.22,miscellaneous,Other,Miscellaneous - Other,True,9,3,0,0,29,0,44,12542.77,0.1,2,0.81,0.16
EMP0002,operations,55.85,miscellaneous,Various,Miscellaneous - Various,True,9,1,0,0,40,0,45,12598.619999999999,0.2,6,0.69,0.21
EMP0002,operations,48.45,meals,UberEats,Meals - UberEats,True,10,1,0,0,42,0,46,12647.07,0.18,14,0.9,0.4
EMP0002,operations,700.23,equipment,Lenovo,Equipment - Lenovo,True,18,1,0,0,74,0,47,13347.3,2.47,9,0.22,0.15
EMP0002,operations,631.18,travel,American Airlines,Travel - American Airlines,True,15,2,0,0,47,0,48,13978.48,2.17,2,0.86,0.55
EMP0002,operations,16.04,office_supplies,Best Buy,Office Supplies - Best Buy,True,1,2,0,0,22,1,49,13994.52,0.06,14,0.57,0.39
EMP0002,operations,451.83,travel,Delta Airlines,Travel - Delta Airlines,False,14,1,0,0,55,0,50,14446.35,1.56,10,0.33,0.29
EMP0002,operations,134.81,accommodation,Hilton,Accommodation - Hilton,True,12,2,0,0,17,0,51,14581.16,0.47,14,0.42,0.47
EMP0002,operations,476.15,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,8,0,0,0,21,0,52,15057.31,1.64,13,0.32,0.28
EMP0002,operations,77.7,transportation,Car Rental,Transportation - Car Rental,True,11,2,0,0,23,0,53,15135.01,0.27,8,0.77,0.32
EMP0002,operations,21.51,meals,Local Restaurant,Meals - Local Restaurant,True,12,1,0,0,45,0,54,15156.52,0.08,0,0.68,0.26
EMP0002,operations,163.95,training,Coursera,Training - Coursera,True,15,2,0,0,43,0,55,15320.47,0.59,12,0.66,0.27
EMP0002,operations,67.83,miscellaneous,Other,Miscellaneous - Other,True,14,1,0,0,77,0,56,15388.3,0.25,4,0.83,0.41
EMP0003,engineering,847.11,equipment,Amazon,Equipment - Amazon,True,10,0,0,0,76,0,1,847.11,1.0,25,0.59,0.26
EMP0003,engineering,44.84,miscellaneous,Various,Miscellaneous - Various,True,15,2,0,0,25,0,2,891.95,0.1,5,0.1,0.5
EMP0003,engineering,1036.73,office_supplies,Coursera,Training - Coursera,True,16,1,0,0,29,1,3,1928.68,1.61,13,0.88,0.24
EMP0003,engineering,141.86,miscellaneous,Various,Miscellaneous - Various,True,10,4,0,0,69,0,4,2070.54,0.27,14,0.55,0.15
EMP0003,engineering,372.92,training,Coursera,Training - Coursera,True,11,0,0,0,44,0,5,2443.46,0.76,1,0.53,0.58
EMP0003,engineering,488.76,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,9,0,0,0,70,0,6,2932.2200000000003,1.0,14,0.25,0.32
EMP0003,engineering,60.01,transportation,Car Rental,Transportation - Car Rental,False,12,0,0,0,53,0,7,2992.23,0.14,1,0.42,0.23
EMP0003,engineering,34.55,meals,Local Restaurant,Meals - Local Restaurant,True,14,1,0,0,49,0,8,3026.78,0.09,14,0.54,0.5
EMP0003,engineering,438.52,training,Workshop,Training - Workshop,False,12,0,0,0,44,0,9,3465.3,1.14,4,0.8,0.49
EMP0003,engineering,129.87,miscellaneous,Various,Miscellaneous - Various,True,10,3,0,0,12,0,10,3595.17,0.36,9,0.41,0.16
EMP0003,engineering,72.83,meals,Local Restaurant,Meals - Local Restaurant,False,15,5,1,0,28,0,11,3668.0,0.22,9,0.11,0.08
EMP0003,engineering,217.16,meals,Local Restaurant,Meals - Local Restaurant,True,12,3,0,0,18,1,12,3885.16,0.67,14,0.68,0.57
EMP0003,engineering,1000.0,office_supplies,Amazon,Office Supplies - Amazon,True,15,5,1,1,19,1,13,4885.16,2.66,7,0.3,0.4
EMP0003,engineering,154.48,office_supplies,Best Buy,Office Supplies - Best Buy,True,17,1,0,0,18,1,14,5039.64,0.43,10,0.47,0.47
EMP0003,engineering,300.0,software,Adobe,Software - Adobe,True,11,6,1,1,8,1,15,5339.64,0.84,6,0.72,0.23
EMP0003,engineering,281.59,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,9,4,0,0,20,0,16,5621.23,0.8,8,0.87,0.37
EMP0003,engineering,415.35,software,AWS,Software - AWS,True,8,0,0,0,27,0,17,6036.58,1.17,7,0.2,0.51
EMP0003,engineering,73.6,miscellaneous,Various,Miscellaneous - Various,True,10,0,0,0,34,0,18,6110.18,0.22,14,0.73,0.57
EMP0003,engineering,133.18,miscellaneous,Other,Miscellaneous - Other,True,11,2,0,0,34,0,19,6243.36,0.41,0,0.69,0.57
EMP0003,engineering,91.02,office_supplies,Office Depot,Office Supplies - Office Depot,True,19,4,0,0,19,0,20,6334.38,0.29,4,0.4,0.21
EMP0003,engineering,476.96,training,Workshop,Training - Workshop,True,14,4,0,0,31,0,21,6811.34,1.47,6,0.41,0.59
EMP0003,engineering,70.66,meals,UberEats,Meals - UberEats,True,14,2,0,0,30,0,22,6882.0,0.23,0,0.57,0.53
EMP0003,engineering,74.51,office_supplies,Office Depot,Office Supplies - Office Depot,True,15,2,0,0,70,0,23,6956.51,0.25,6,0.87,0.05
EMP0003,engineering,100.71,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,9,2,0,0,26,0,24,7057.22,0.34,13,0.67,0.55
EMP0003,engineering,112.1,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,16,3,0,0,29,0,25,7169.32,0.39,14,0.33,0.29
EMP0003,engineering,101.78,office_supplies,Staples,Office Supplies - Staples,False,15,1,0,0,48,0,26,7271.1,0.36,13,0.89,0.23
EMP0003,engineering,189.93,accommodation,Airbnb,Accommodation - Airbnb,True,16,4,0,0,43,0,27,7461.03,0.69,1,0.42,0.57
EMP0003,engineering,652.73,equipment,Lenovo,Equipment - Lenovo,True,8,0,0,0,63,0,28,8113.76,2.25,11,0.2,0.56
EMP0003,engineering,255.89,accommodation,Hampton Inn,Accommodation - Hampton Inn,True,10,1,0,0,63,0,29,8369.65,0.89,10,0.54,0.24
EMP0003,engineering,248.98,accommodation,Marriott,Accommodation - Marriott,False,10,4,0,0,39,0,30,8618.63,0.87,4,0.43,0.17
EMP0003,engineering,92.54,miscellaneous,Other,Miscellaneous - Other,True,10,1,0,0,43,0,31,8711.17,0.33,7,0.32,0.48
EMP0004,finance,181.39,travel,American Airlines,Travel - American Airlines,True,16,0,0,0,36,0,1,181.39,1.0,21,0.67,0.06
EMP0004,finance,40.3,meals,Local Restaurant,Meals - Local Restaurant,True,7,2,0,0,61,0,2,221.69,0.36,0,0.17,0.11
EMP0004,finance,7731.14,equipment,Apple Store,Equipment - Apple Store,True,9,1,0,0,7,1,3,7952.83,2.92,11,0.25,0.07
EMP0004,finance,134.3,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,11,2,0,0,51,0,4,8087.13,0.07,0,0.82,0.19
EMP0004,finance,36.67,meals,Chipotle,Meals - Chipotle,True,11,3,0,0,24,0,5,8123.8,0.02,13,0.81,0.06
EMP0004,finance,147.36,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,14,3,0,0,43,0,6,8271.16,0.11,6,0.45,0.22
EMP0004,finance,1906.08,office_supplies,Lyft,Transportation - Lyft,True,14,2,0,0,26,1,7,10177.24,1.31,2,0.6,0.4
EMP0004,finance,89.84,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,10,1,0,0,48,0,8,10267.08,0.07,4,0.71,0.37
EMP0004,finance,229.32,accommodation,Hampton Inn,Accommodation - Hampton Inn,True,18,3,0,0,44,0,9,10496.4,0.2,7,0.44,0.54
EMP0004,finance,1317.26,equipment,Amazon,Equipment - Amazon,False,13,1,0,0,66,0,10,11813.66,1.12,0,0.62,0.57
EMP0004,finance,44.82,meals,Chipotle,Meals - Chipotle,True,14,2,0,0,33,0,11,11858.48,0.04,8,0.6,0.08
EMP0004,finance,52.55,meals,Chipotle,Meals - Chipotle,True,13,2,0,0,33,0,12,11911.03,0.05,14,0.53,0.35
EMP0004,finance,21.97,office_supplies,Staples,Office Supplies - Staples,False,9,4,0,0,44,0,13,11933.0,0.02,7,0.83,0.38
EMP0004,finance,22.0,transportation,Car Rental,Transportation - Car Rental,True,11,3,0,0,74,0,14,11955.0,0.03,13,0.11,0.1
EMP0004,finance,131.84,miscellaneous,Other,Miscellaneous - Other,True,7,0,0,0,76,0,15,12086.84,0.16,13,0.72,0.12
EMP0004,finance,389.32,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,15,4,0,0,68,0,16,12476.16,0.5,8,0.25,0.12
EMP0004,finance,35.36,office_supplies,Amazon,Office Supplies - Amazon,True,11,1,0,0,24,0,17,12511.52,0.05,4,0.64,0.58
EMP0004,finance,9663.67,equipment,Amazon,Equipment - Amazon,True,18,1,0,0,16,1,18,22175.19,7.84,14,0.45,0.5
EMP0004,finance,99.87,accommodation,Marriott,Accommodation - Marriott,True,11,1,0,0,80,0,19,22275.06,0.09,4,0.11,0.51
EMP0004,finance,714.04,travel,Delta Airlines,Travel - Delta Airlines,True,13,0,0,0,13,0,20,22989.1,0.62,1,0.39,0.05
EMP0004,finance,445.16,client_entertainment,Golf Club,Client Entertainment - Golf Club,True,14,2,0,0,40,0,21,23434.260000000002,0.4,14,0.48,0.17
EMP0004,finance,46.99,transportation,Uber,Transportation - Uber,False,12,0,0,0,25,0,22,23481.25,0.04,7,0.32,0.31
EMP0005,finance,287.71,travel,Delta Airlines,Travel - Delta Airlines,True,18,2,0,0,36,0,1,287.71,1.0,30,0.76,0.07
EMP0005,finance,2810.76,office_supplies,Subway,Meals - Subway,True,13,4,0,0,7,1,2,3098.4700000000003,1.81,0,0.14,0.47
EMP0005,finance,16.95,office_supplies,Amazon,Office Supplies - Amazon,True,15,4,0,0,39,0,3,3115.42,0.02,9,0.44,0.57
EMP0005,finance,368.06,meals,Starbucks,Meals - Starbucks,True,8,3,0,0,11,1,4,3483.48,0.42,10,0.32,0.59
EMP0005,finance,445.49,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,16,4,0,0,29,0,5,3928.9700000000003,0.57,0,0.33,0.25
EMP0005,finance,698.83,travel,Delta Airlines,Travel - Delta Airlines,False,15,6,1,0,55,0,6,4627.8,0.91,5,0.26,0.33
EMP0005,finance,369.65,travel,American Airlines,Travel - American Airlines,True,10,3,0,0,60,0,7,4997.45,0.52,6,0.89,0.58
EMP0005,finance,30.11,office_supplies,Best Buy,Office Supplies - Best Buy,True,9,6,1,0,40,0,8,5027.56,0.05,3,0.67,0.53
EMP0005,finance,477.88,travel,Delta Airlines,Travel - Delta Airlines,True,15,2,0,0,11,0,9,5505.4400000000005,0.78,2,0.27,0.14
EMP0005,finance,60.8,transportation,Car Rental,Transportation - Car Rental,True,15,2,0,0,77,0,10,5566.24,0.11,4,0.28,0.26
EMP0005,finance,41.08,meals,UberEats,Meals - UberEats,True,14,1,0,0,57,0,11,5607.320000000001,0.08,8,0.25,0.42
EMP0005,finance,79.6,office_supplies,Office Depot,Office Supplies - Office Depot,True,15,5,1,0,75,0,12,5686.92,0.17,6,0.15,0.33
EMP0005,finance,361.56,client_entertainment,Golf Club,Client Entertainment - Golf Club,True,14,1,0,0,79,0,13,6048.4800000000005,0.78,9,0.32,0.12
EMP0005,finance,95.02,miscellaneous,Other,Miscellaneous - Other,True,16,1,0,0,26,0,14,6143.5,0.22,13,0.67,0.18
EMP0005,finance,117.57,miscellaneous,Various,Miscellaneous - Various,True,10,4,0,0,19,0,15,6261.070000000001,0.28,11,0.32,0.32
EMP0005,finance,71.08,meals,UberEats,Meals - UberEats,True,10,1,0,0,20,0,16,6332.150000000001,0.18,8,0.58,0.42
EMP0005,finance,47.58,transportation,Taxi,Transportation - Taxi,True,17,1,0,0,63,0,17,6379.7300000000005,0.13,14,0.37,0.25
EMP0005,finance,184.7,training,Workshop,Training - Workshop,True,7,6,1,0,26,0,18,6564.43,0.51,13,0.39,0.19
EMP0005,finance,72.64,software,AWS,Software - AWS,True,14,0,0,0,46,0,19,6637.070000000001,0.21,12,0.19,0.15
EMP0005,finance,338.44,travel,Delta Airlines,Travel - Delta Airlines,True,9,0,0,0,26,0,20,6975.51,0.97,11,0.86,0.34
EMP0005,finance,107.05,meals,DoorDash,Meals - DoorDash,True,9,0,0,0,19,1,21,7082.56,0.32,6,0.65,0.12
EMP0005,finance,66.32,meals,UberEats,Meals - UberEats,False,9,2,0,0,74,0,22,7148.88,0.2,10,0.31,0.24
EMP0005,finance,741.17,equipment,Apple Store,Equipment - Apple Store,True,14,2,0,0,55,0,23,7890.05,2.16,7,0.68,0.1
EMP0005,finance,113.54,office_supplies,Staples,Office Supplies - Staples,False,18,4,0,0,34,0,24,8003.59,0.34,13,0.26,0.25
EMP0005,finance,629.22,equipment,Apple Store,Equipment - Apple Store,True,15,4,0,0,31,0,25,8632.81,1.82,0,0.29,0.52
EMP0005,finance,91.41,office_supplies,Office Depot,Office Supplies - Office Depot,True,11,4,0,0,22,0,26,8724.22,0.27,3,0.19,0.36
EMP0005,finance,39.94,office_supplies,Staples,Office Supplies - Staples,True,10,0,0,0,65,0,27,8764.16,0.12,8,0.68,0.22
EMP0005,finance,134.55,accommodation,Marriott,Accommodation - Marriott,True,12,4,0,0,12,0,28,8898.710000000001,0.42,1,0.49,0.43
EMP0005,finance,54.37,training,Coursera,Training - Coursera,False,13,0,0,0,22,0,29,8953.08,0.18,0,0.38,0.39
EMP0005,finance,16.43,office_supplies,Amazon,Office Supplies - Amazon,False,9,1,0,0,52,0,30,8969.51,0.05,9,0.24,0.53
EMP0005,finance,746.56,travel,Delta Airlines,Travel - Delta Airlines,True,12,0,0,0,27,0,31,9716.07,2.38,6,0.63,0.3
EMP0005,finance,300.0,software,GitHub,Software - GitHub,True,17,0,0,1,5,1,32,10016.07,0.96,12,0.77,0.2
EMP0005,finance,74.74,software,GitHub,Software - GitHub,True,13,1,0,0,38,0,33,10090.81,0.24,11,0.77,0.46
EMP0005,finance,476.25,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,11,3,0,0,15,0,34,10567.06,1.53,3,0.58,0.21
EMP0005,finance,207.6,training,Conference Registration,Training - Conference Registration,True,13,1,0,0,60,0,35,10774.66,0.67,13,0.53,0.28
EMP0005,finance,178.41,accommodation,Hilton,Accommodation - Hilton,True,18,0,0,0,41,0,36,10953.07,0.59,11,0.43,0.48
EMP0005,finance,180.37,transportation,Car Rental,Transportation - Car Rental,False,10,2,0,0,28,1,37,11133.44,0.6,2,0.38,0.29
EMP0005,finance,644.48,equipment,Dell,Equipment - Dell,True,9,4,0,0,21,0,38,11777.92,2.08,4,0.11,0.17
EMP0005,finance,433.14,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,14,5,1,0,64,0,39,12211.06,1.38,0,0.82,0.42
EMP0005,finance,50.47,miscellaneous,Other,Miscellaneous - Other,True,17,4,0,0,26,0,40,12261.53,0.16,13,0.62,0.55
EMP0005,finance,92.18,miscellaneous,Other,Miscellaneous - Other,True,12,4,0,0,70,0,41,12353.710000000001,0.31,5,0.28,0.25
EMP0005,finance,322.71,equipment,Amazon,Equipment - Amazon,False,9,3,0,0,73,0,42,12676.42,1.07,5,0.77,0.34
EMP0005,finance,31.16,software,Zoom,Software - Zoom,True,14,3,0,0,44,0,43,12707.58,0.11,14,0.85,0.32
EMP0005,finance,1896.17,office_supplies,Conference Registration,Training - Conference Registration,True,11,0,0,0,13,1,44,14603.75,5.71,7,0.62,0.25
EMP0005,finance,122.12,training,Coursera,Training - Coursera,True,12,3,0,0,22,0,45,14725.87,0.37,14,0.15,0.27
EMP0005,finance,171.67,accommodation,Hilton,Accommodation - Hilton,True,10,4,0,0,29,0,46,14897.54,0.53,13,0.86,0.25
EMP0005,finance,180.62,office_supplies,Amazon,Office Supplies - Amazon,True,11,6,1,0,79,0,47,15078.16,0.56,1,0.27,0.29
EMP0005,finance,116.44,office_supplies,Amazon,Office Supplies - Amazon,True,16,2,0,0,25,0,48,15194.6,0.37,0,0.4,0.2
EMP0005,finance,1973.38,equipment,Best Buy,Equipment - Best Buy,True,11,4,0,0,69,0,49,17167.98,5.63,1,0.42,0.45
